,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,positioning,vision,penalties,aggression,interceptions,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,preferred_foot_encoded,attacking_work_rate_encoded,defensive_work_rate_encoded,player_role
43291,12,12,20,27,14.0,14,15.0,13,24,20,63,58,54.0,65,56.0,22,73.0,24,83,12,15,37.0,14,32,23,13,14,15.0,73,62,68,71,75,1,1.0,1.0,0
77117,59,36,64,63,32.0,62,46.0,59,59,61,68,69,67.0,67,62.0,72,52.0,64,67,45,46,56.0,52,66,61,64,68,60.0,15,8,13,11,9,0,1.0,1.0,4
95792,62,64,68,69,66.0,60,42.0,51,67,65,67,65,55.0,67,53.0,80,64.0,92,87,67,74,69.0,52,80,68,59,68,64.0,9,9,14,10,14,1,2.0,2.0,3
81042,72,78,42,77,55.0,85,74.0,66,64,86,90,85,87.0,71,77.0,76,74.0,69,63,74,76,70.0,68,29,33,16,23,12.0,13,7,6,13,15,1,1.0,0.0,6
165589,63,34,69,65,43.0,56,46.0,41,65,62,54,52,64.0,67,62.0,56,70.0,66,73,47,55,56.0,42,66,70,70,70,68.0,15,13,11,15,13,1,1.0,1.0,1
99999,61,77,74,67,65.0,72,72.0,69,60,68,80,80,74.0,70,74.0,80,74.0,78,60,74,75,62.0,70,61,22,13,16,14.0,15,10,13,15,10,0,2.0,1.0,7
32360,49,37,49,57,39.0,53,45.0,43,53,55,61,64,58.0,53,70.0,50,61.0,58,34,43,44,54.0,51,55,53,46,51,52.0,14,10,15,9,14,1,1.0,1.0,4
8955,65,66,52,69,46.0,64,42.0,49,61,64,72,72,76.0,59,72.0,65,74.0,82,71,59,64,65.0,56,58,56,58,56,53.0,11,15,15,11,11,1,1.0,0.0,2
45389,40,43,28,61,48.0,65,38.0,47,55,66,74,67,73.0,63,63.0,62,48.0,65,67,51,51,59.0,33,38,34,53,38,29.0,10,10,11,14,9,1,2.0,0.0,4
157596,64,62,46,77,55.0,71,68.0,53,69,72,72,72,80.0,75,72.0,70,77.0,77,75,63,63,65.0,76,86,70,69,74,65.0,7,7,14,15,14,1,2.0,2.0,2
113974,66,60,54,74,59.0,77,66.0,66,66,75,72,67,76.0,72,70.0,58,72.0,75,59,56,73,73.0,49,57,46,54,65,60.0,12,10,6,9,13,1,1.0,1.0,4
92606,45,44,41,52,43.0,59,47.0,34,47,59,78,82,68.0,40,74.0,56,53.0,64,54,34,52,54.0,52,50,29,25,35,33.0,10,14,8,9,13,1,1.0,1.0,4
43085,38,17,46,70,17.0,50,55.0,54,65,65,71,70,73.0,72,61.0,60,77.0,81,77,53,40,64.0,32,79,68,66,71,64.0,12,11,10,9,16,1,1.0,2.0,3
170457,40,31,75,59,37.0,35,36.0,38,46,56,57,63,60.0,60,64.0,50,76.0,59,69,30,30,44.0,42,67,70,59,72,60.0,11,8,11,14,9,0,1.0,1.0,4
9728,51,79,68,64,71.0,74,66.0,54,59,76,70,73,72.0,75,67.0,80,70.0,65,71,78,76,60.0,70,64,37,13,39,25.0,7,16,7,9,14,1,2.0,2.0,7
179945,67,62,32,63,58.0,66,61.0,65,62,64,78,77,78.0,63,84.0,65,67.0,72,47,66,65,64.0,54,52,48,31,45,35.0,11,9,12,11,14,1,1.0,1.0,4
4410,55,41,66,62,39.0,59,37.0,42,54,54,49,49,42.0,63,44.0,55,77.0,71,82,52,46,49.0,50,62,60,61,65,61.0,15,8,11,13,13,1,1.0,1.0,4
160753,57,55,36,69,51.0,72,49.0,70,63,71,79,79,76.0,52,77.0,64,58.0,41,42,66,66,72.0,58,40,29,33,28,29.0,12,12,9,14,13,1,2.0,1.0,5
154417,77,74,70,78,62.0,67,74.0,75,76,72,65,68,63.0,76,67.0,75,71.0,91,75,71,82,74.0,79,76,73,66,72,69.0,9,16,10,7,7,1,2.0,2.0,1
32448,44,67,58,60,65.0,72,67.0,34,39,70,78,68,68.0,70,61.0,74,61.0,71,73,64,71,71.0,66,57,39,21,34,32.0,7,14,15,10,12,1,2.0,1.0,4
161751,67,62,55,69,60.0,65,66.0,52,63,67,80,80,74.0,65,75.0,63,61.0,65,73,60,63,68.0,51,58,49,37,43,38.0,11,6,9,13,9,0,2.0,1.0,4
9667,53,67,75,58,70.0,65,73.0,60,40,69,68,64,65.0,68,63.0,80,78.0,60,73,67,72,47.0,75,71,40,50,37,39.0,16,16,14,14,7,1,2.0,2.0,4
91348,71,62,57,74,49.0,68,70.0,53,67,71,72,76,70.0,75,72.0,79,70.0,68,80,64,69,65.0,54,79,67,72,72,67.0,6,7,16,11,11,1,1.0,1.0,2
178445,41,62,67,63,56.0,61,43.0,49,34,66,58,68,43.0,53,38.0,67,61.0,54,90,52,60,56.0,60,55,21,13,21,15.0,12,13,14,8,6,1,1.0,1.0,4
175461,17,19,18,27,21.0,20,13.0,20,19,19,41,47,32.0,60,54.0,23,54.0,25,59,21,18,39.0,28,18,23,14,19,21.0,68,51,67,66,68,1,1.0,1.0,0
32333,50,33,51,68,41.0,67,57.0,64,62,68,71,74,72.0,66,63.0,59,57.0,76,59,65,49,67.0,45,63,55,54,60,56.0,9,14,12,6,13,1,1.0,1.0,4
62582,64,55,49,74,49.0,71,50.0,50,67,67,74,71,76.0,60,79.0,58,71.0,70,52,52,53,66.0,45,53,64,54,43,44.0,10,15,13,12,14,1,2.0,2.0,4
147462,64,66,48,61,64.0,71,58.0,54,53,71,76,76,82.0,72,73.0,65,70.0,62,59,65,70,66.0,65,46,33,34,36,28.0,9,7,15,11,12,0,1.0,1.0,4
60833,84,81,76,84,76.0,87,87.0,85,80,85,93,95,75.0,84,65.0,87,67.0,90,79,88,83,77.0,76,77,59,60,65,62.0,15,15,11,5,6,0,2.0,1.0,2
129520,72,53,63,74,61.0,74,68.0,65,73,77,80,78,82.0,75,83.0,62,87.0,88,62,67,69,75.0,66,72,79,74,76,72.0,10,7,7,11,15,0,2.0,2.0,1
28449,63,61,59,59,59.0,66,57.0,68,53,61,80,90,74.0,76,60.0,70,74.0,71,64,62,71,56.0,63,55,26,11,19,14.0,6,7,13,9,9,0,1.0,1.0,4
157537,70,69,63,71,58.0,74,62.0,65,68,72,73,71,74.0,65,78.0,69,72.0,84,70,66,69,72.0,62,42,65,62,64,60.0,13,13,9,13,16,1,2.0,2.0,2
32245,13,14,15,31,15.0,11,15.0,13,27,25,50,42,57.0,77,51.0,23,71.0,25,63,14,16,58.0,22,28,26,12,15,13.0,73,71,71,74,78,0,1.0,1.0,0
166223,54,57,75,67,44.0,47,34.0,58,63,64,67,58,68.0,70,67.0,68,77.0,73,71,59,64,67.0,66,73,74,66,70,68.0,10,7,12,11,15,0,1.0,1.0,1
144763,46,69,68,49,67.0,59,41.0,34,36,60,74,66,64.0,68,60.0,78,72.0,80,73,57,74,51.0,70,75,25,18,19,18.0,7,12,11,15,12,1,1.0,1.0,4
13639,57,44,48,70,54.0,63,58.0,63,70,71,66,64,70.0,65,66.0,63,54.0,55,70,56,63,69.0,55,54,68,52,66,49.0,10,11,10,11,6,1,1.0,1.0,4
139048,62,59,64,73,53.0,74,38.0,57,76,72,89,88,77.0,76,78.0,70,86.0,85,65,64,74,64.0,46,73,67,69,76,75.0,9,15,7,8,6,0,2.0,1.0,1
23285,24,64,65,54,56.0,61,67.0,64,39,65,66,60,61.0,49,54.0,66,63.0,63,70,51,61,44.0,69,59,19,27,29,30.0,8,8,7,6,16,1,1.0,1.0,4
45291,66,56,26,63,58.0,76,54.0,49,61,71,83,78,87.0,46,76.0,63,68.0,54,35,62,51,57.0,45,28,23,12,21,23.0,9,7,14,11,12,0,1.0,0.0,6
136302,75,74,67,79,74.0,82,77.0,73,73,81,78,77,83.0,70,77.0,75,61.0,81,68,71,70,79.0,71,69,68,59,65,55.0,14,14,7,16,11,1,2.0,1.0,2
92152,70,35,65,71,41.0,62,82.0,76,69,67,66,68,63.0,73,64.0,83,84.0,64,74,63,50,59.0,47,65,66,72,75,70.0,16,10,8,14,10,1,1.0,1.0,1
14441,67,81,72,75,74.0,85,73.0,54,58,81,90,88,84.0,81,80.0,80,81.0,79,80,68,80,64.0,71,62,42,21,18,17.0,9,8,8,15,11,1,2.0,1.0,4
150133,73,44,54,65,49.0,64,71.0,60,68,70,76,78,77.0,76,73.0,61,72.0,75,75,55,58,55.0,57,73,72,62,68,80.0,12,10,16,8,16,0,1.0,1.0,2
83097,38,16,62,65,16.0,58,36.0,31,51,64,71,72,71.0,57,53.0,14,73.0,71,71,13,22,32.0,35,67,59,65,65,64.0,10,16,12,7,16,0,1.0,2.0,4
31921,66,73,80,77,62.0,70,66.0,73,79,74,72,73,72.0,80,73.0,79,89.0,80,78,70,78,74.0,70,80,77,74,77,72.0,7,10,14,9,14,1,2.0,2.0,1
103903,75,69,73,74,61.0,77,77.0,65,69,73,77,79,82.0,76,58.0,76,70.0,64,78,67,74,73.0,64,33,55,45,48,46.0,11,8,15,12,7,1,1.0,0.0,5
180558,71,72,54,70,62.0,77,70.0,74,60,72,90,88,83.0,70,75.0,76,76.0,72,69,71,70,70.0,65,46,48,36,31,35.0,12,13,11,10,7,0,2.0,1.0,6
156341,53,46,45,66,37.0,71,36.0,39,57,74,69,65,72.0,64,90.0,44,46.0,70,51,53,58,63.0,48,81,59,62,56,59.0,9,11,15,14,9,1,2.0,1.0,4
92228,55,57,66,71,58.0,55,57.0,43,63,69,63,52,50.0,69,64.0,67,73.0,67,78,58,55,61.0,48,73,71,67,68,63.0,9,10,8,9,12,1,1.0,1.0,1
155248,63,55,41,67,62.0,74,63.0,39,53,69,89,90,83.0,73,88.0,69,90.0,60,36,70,69,58.0,59,59,42,32,38,34.0,9,9,10,15,10,1,1.0,1.0,4
93169,45,37,62,61,32.0,58,35.0,35,63,64,52,60,64.0,63,60.0,48,64.0,68,73,39,34,54.0,46,72,64,69,65,64.0,13,15,10,9,14,1,1.0,1.0,4
92956,62,62,72,67,58.0,55,47.0,59,65,64,45,50,57.0,67,60.0,70,65.0,75,72,67,77,67.0,65,72,72,57,67,65.0,14,6,14,13,16,1,2.0,2.0,3
78136,61,70,50,79,55.0,83,72.0,60,73,80,72,66,74.0,68,81.0,57,53.0,59,54,67,62,74.0,65,49,60,51,58,48.0,13,11,11,14,8,1,1.0,1.0,5
41110,24,18,65,49,18.0,31,29.0,31,53,45,33,47,31.0,59,44.0,48,72.0,34,86,28,19,20.0,25,67,65,65,66,66.0,12,7,13,7,12,1,1.0,2.0,4
111289,59,39,76,65,47.0,45,61.0,55,66,53,33,41,41.0,64,34.0,58,46.0,68,91,35,40,54.0,61,76,70,74,75,75.0,9,14,10,14,10,0,1.0,1.0,1
31654,37,44,30,62,59.0,58,52.0,32,57,57,70,62,39.0,57,57.0,49,46.0,55,69,58,50,54.0,56,57,54,49,60,61.0,13,6,9,6,12,1,1.0,1.0,4
11200,46,51,74,70,42.0,59,58.0,61,66,67,55,57,66.0,73,63.0,72,84.0,58,76,61,67,70.0,42,62,74,69,73,68.0,7,12,14,13,15,1,1.0,1.0,1
160955,38,23,65,56,30.0,26,37.0,33,43,57,53,54,33.0,61,42.0,46,73.0,67,79,32,47,38.0,55,82,67,69,70,72.0,9,11,16,8,12,1,1.0,1.0,1
58802,73,71,49,61,65.0,80,57.0,55,55,70,90,90,79.0,62,78.0,74,52.0,58,56,63,71,65.0,62,59,24,33,30,29.0,13,12,11,13,10,1,2.0,1.0,6
138320,22,32,74,68,23.0,42,27.0,60,73,67,70,72,48.0,65,47.0,79,74.0,64,86,66,38,50.0,27,92,74,74,79,85.0,12,13,9,6,10,0,,,1
8414,54,56,42,53,54.0,70,46.0,41,42,62,71,70,65.0,42,76.0,60,48.0,40,43,55,46,51.0,59,43,18,26,30,40.0,14,12,15,10,12,0,1.0,1.0,4
41088,77,62,60,71,68.0,72,65.0,59,65,72,79,85,75.0,72,77.0,74,69.0,87,65,70,70,64.0,59,70,71,75,75,79.0,11,9,8,6,11,1,2.0,2.0,2
171512,50,46,67,72,32.0,59,52.0,25,67,63,78,76,65.0,62,63.0,72,72.0,65,76,54,51,50.0,48,80,66,62,66,67.0,11,8,8,7,11,1,1.0,1.0,3
78357,54,30,58,67,29.0,49,43.0,59,45,63,65,67,58.0,62,78.0,70,56.0,64,78,46,42,47.0,45,80,66,67,73,64.0,15,16,13,16,11,0,0.0,1.0,3
181471,70,76,64,75,74.0,80,65.0,46,59,76,77,79,78.0,78,77.0,73,73.0,78,49,68,79,68.0,56,50,26,32,20,30.0,7,15,15,8,14,1,2.0,2.0,4
128361,66,32,66,63,30.0,59,39.0,42,60,62,58,65,57.0,65,54.0,59,67.0,68,76,34,58,47.0,43,73,64,64,66,68.0,13,10,7,6,8,1,2.0,1.0,4
129743,47,65,67,64,62.0,69,61.0,36,30,69,70,72,75.0,52,69.0,69,71.0,59,70,59,65,59.0,61,27,19,14,18,12.0,9,11,10,9,6,1,0.0,0.0,4
96254,61,64,62,60,61.0,64,40.0,31,54,63,85,89,87.0,70,75.0,65,81.0,76,70,60,69,54.0,72,60,46,48,30,23.0,13,6,9,10,7,1,1.0,1.0,4
103700,30,87,90,68,80.0,58,63.0,38,32,74,34,34,34.0,76,34.0,77,69.0,34,91,51,88,68.0,77,38,15,17,25,15.0,12,14,6,7,5,1,1.0,0.0,7
93094,78,75,48,80,72.0,87,70.0,58,66,84,91,90,87.0,81,78.0,81,75.0,76,64,77,80,78.0,57,49,38,28,30,33.0,10,12,7,11,10,1,2.0,2.0,4
111329,58,73,72,64,58.0,71,44.0,46,49,70,66,71,71.0,70,65.0,70,73.0,73,71,58,66,64.0,57,69,50,20,23,15.0,15,11,10,8,8,1,1.0,1.0,4
105604,66,57,43,67,49.0,75,57.0,48,58,76,78,76,86.0,75,83.0,74,62.0,73,53,63,75,65.0,74,55,34,33,43,42.0,16,15,15,11,16,1,1.0,1.0,6
58471,81,63,68,77,71.0,75,74.0,75,74,76,79,74,76.0,73,73.0,83,76.0,79,72,78,69,75.0,73,69,70,77,73,82.0,15,13,14,11,6,0,2.0,1.0,1
129853,33,69,64,59,62.0,66,43.0,32,33,64,67,76,79.0,67,57.0,69,58.0,67,72,59,65,63.0,61,36,14,20,12,17.0,10,10,7,7,12,1,1.0,1.0,4
112,77,72,64,79,77.0,78,77.0,76,70,79,75,69,76.0,80,72.0,76,65.0,75,65,76,77,76.0,81,59,55,28,34,35.0,15,12,7,16,15,0,1.0,1.0,4
78868,36,20,71,65,30.0,56,24.0,19,59,61,72,72,52.0,71,54.0,44,77.0,70,83,38,35,48.0,45,80,73,74,76,74.0,15,13,15,13,8,1,2.0,1.0,1
171520,66,51,75,68,43.0,60,45.0,30,60,67,73,69,67.0,74,65.0,65,74.0,68,76,39,49,39.0,44,83,76,77,77,76.0,15,13,10,10,12,1,1.0,1.0,1
152763,53,66,57,58,68.0,76,66.0,47,42,71,86,91,87.0,66,75.0,77,49.0,59,65,66,69,64.0,70,70,36,22,26,21.0,10,9,13,11,14,1,1.0,1.0,4
22642,68,70,76,72,68.0,68,58.0,67,74,74,68,68,72.0,70,73.0,91,81.0,81,79,78,72,70.0,72,88,68,56,73,66.0,11,6,7,15,11,0,1.0,1.0,3
99628,67,71,57,66,68.0,74,64.0,60,59,72,81,83,86.0,63,86.0,67,61.0,68,49,70,66,69.0,58,47,18,13,16,18.0,14,8,11,7,7,1,1.0,1.0,6
161137,69,61,36,65,70.0,72,64.0,70,57,69,79,76,83.0,70,87.0,73,83.0,55,33,74,66,68.0,64,40,39,29,27,33.0,14,9,14,11,12,1,1.0,0.0,6
175369,55,66,61,59,58.0,69,54.0,39,41,65,69,79,68.0,60,57.0,69,70.0,54,74,56,62,57.0,70,48,13,15,20,17.0,8,7,6,9,12,1,1.0,1.0,4
44273,63,47,55,64,39.0,53,58.0,55,52,68,71,73,74.0,61,61.0,44,82.0,72,71,50,48,47.0,57,67,73,66,67,73.0,8,14,6,8,13,1,2.0,1.0,2
142942,81,88,77,74,84.0,81,78.0,74,64,81,95,96,80.0,84,66.0,78,76.0,79,77,77,86,77.0,84,45,48,28,25,36.0,6,9,15,9,9,1,2.0,0.0,4
31879,67,26,68,67,37.0,54,32.0,35,72,61,68,70,69.0,65,67.0,50,69.0,72,65,36,45,58.0,31,68,68,67,71,70.0,7,13,13,16,14,0,0.0,1.0,1
153530,51,39,75,65,51.0,47,48.0,31,59,62,66,71,63.0,70,60.0,65,70.0,67,76,51,40,52.0,58,67,76,74,73,70.0,16,7,16,14,8,0,1.0,1.0,1
170999,43,75,75,66,68.0,69,57.0,55,34,68,66,67,64.0,71,55.0,72,67.0,65,70,60,78,43.0,69,50,20,23,36,47.0,10,15,16,12,12,1,1.0,0.0,7
182012,11,13,12,38,11.0,18,19.0,20,32,28,45,54,46.0,66,42.0,38,60.0,37,64,12,12,42.0,16,25,22,11,13,20.0,68,64,56,66,65,1,1.0,1.0,0
79098,67,60,48,66,52.0,76,73.0,65,63,71,85,81,84.0,57,74.0,75,63.0,64,54,72,61,62.0,57,57,39,33,39,41.0,11,7,9,11,12,1,1.0,1.0,6
57766,68,26,46,69,40.0,64,67.0,37,57,63,90,90,88.0,71,84.0,55,78.0,82,56,52,64,37.0,32,74,66,67,70,72.0,5,5,5,5,5,1,2.0,1.0,2
136618,67,77,43,72,63.0,85,66.0,65,65,81,83,85,79.0,66,74.0,71,58.0,72,44,65,74,73.0,67,47,33,45,39,45.0,6,6,14,10,13,0,2.0,1.0,4
118408,67,59,47,70,58.0,68,67.0,69,68,73,67,45,69.0,67,77.0,61,55.0,63,62,65,65,68.0,57,53,63,43,57,50.0,7,16,13,15,10,1,1.0,1.0,4
99058,42,76,82,76,69.0,65,46.0,29,59,75,59,77,38.0,75,35.0,79,75.0,87,90,65,76,70.0,62,77,32,15,46,38.0,7,16,6,9,12,1,2.0,2.0,4
62263,70,69,47,69,68.0,73,69.0,68,68,71,66,68,78.0,68,64.0,68,32.0,86,70,70,69,70.0,71,47,59,54,62,58.0,8,7,13,11,15,0,2.0,2.0,4
61119,55,36,57,70,52.0,54,45.0,56,67,66,69,54,67.0,67,61.0,58,72.0,74,72,47,57,66.0,39,59,55,38,60,59.0,14,14,6,15,11,1,1.0,1.0,4
77692,17,10,12,47,19.0,12,10.0,10,33,32,54,50,48.0,79,50.0,35,71.0,40,67,15,11,60.0,21,25,25,18,12,11.0,80,84,74,81,78,1,1.0,1.0,0
92510,53,71,66,60,62.0,62,54.0,55,57,60,72,65,65.0,72,72.0,69,71.0,72,68,62,70,52.0,67,54,15,14,19,22.0,11,12,14,16,8,1,1.0,1.0,4
102786,49,52,49,74,46.0,62,58.0,38,71,68,58,67,57.0,64,62.0,59,59.0,66,69,64,57,61.0,49,54,46,50,59,57.0,12,7,10,13,11,1,1.0,1.0,4
9118,68,63,59,77,64.0,74,68.0,74,72,76,69,67,67.0,74,70.0,72,60.0,69,56,71,69,75.0,66,74,48,52,60,57.0,9,6,8,11,8,1,1.0,1.0,5
57860,66,72,61,69,71.0,75,77.0,77,61,77,76,68,76.0,71,85.0,71,76.0,55,57,77,77,73.0,75,49,25,15,33,26.0,13,8,14,5,14,1,1.0,0.0,5
8390,57,22,81,74,40.0,48,49.0,43,65,67,55,63,64.0,63,58.0,67,78.0,71,79,24,53,52.0,30,83,73,76,74,78.0,16,8,13,10,13,1,1.0,1.0,1
102861,50,22,78,68,34.0,50,58.0,57,72,62,51,52,53.0,72,50.0,84,77.0,60,84,73,61,50.0,55,80,80,72,74,79.0,10,6,14,14,15,1,1.0,2.0,1
28281,44,46,63,65,40.0,62,53.0,38,63,64,67,65,77.0,57,74.0,57,69.0,60,70,52,48,56.0,59,74,63,60,64,66.0,12,10,15,16,15,1,1.0,2.0,4
30632,55,83,74,71,80.0,75,70.0,51,49,77,79,83,75.0,84,64.0,85,78.0,72,74,76,80,59.0,71,73,40,21,33,33.0,6,8,15,12,6,1,2.0,1.0,4
23392,71,58,58,76,31.0,70,56.0,47,66,75,82,84,77.0,74,87.0,72,67.0,85,72,53,68,68.0,58,85,72,72,77,79.0,7,7,14,14,8,1,2.0,1.0,2
13382,64,76,91,65,74.0,67,53.0,42,56,74,69,72,62.0,77,50.0,85,84.0,75,92,78,75,65.0,73,85,45,42,46,43.0,14,14,12,10,6,0,1.0,2.0,7
118460,66,48,61,67,31.0,69,49.0,38,65,68,74,75,64.0,64,64.0,63,80.0,72,74,39,59,63.0,48,73,66,67,69,69.0,15,8,12,11,9,1,2.0,1.0,1
44374,73,52,40,65,64.0,75,68.0,57,54,72,89,83,84.0,68,89.0,60,86.0,78,42,54,64,64.0,54,49,38,18,29,24.0,11,10,9,10,15,1,1.0,1.0,6
91768,71,49,71,67,54.0,65,70.0,50,70,66,67,76,68.0,68,62.0,59,77.0,74,67,57,59,61.0,57,75,70,68,71,72.0,16,13,9,13,6,0,1.0,1.0,1
43525,74,64,72,66,64.0,82,73.0,55,61,81,92,79,93.0,72,94.0,64,52.0,74,33,63,73,64.0,74,67,45,32,49,26.0,10,11,11,9,10,0,2.0,1.0,6
177055,69,64,56,55,66.0,68,51.0,43,39,64,86,78,70.0,68,92.0,66,51.0,53,33,59,63,61.0,68,38,23,20,21,18.0,6,12,8,7,10,1,1.0,1.0,4
175686,57,61,69,75,48.0,63,45.0,50,70,71,51,58,62.0,64,52.0,59,60.0,67,73,59,70,74.0,46,61,65,65,64,60.0,15,13,9,6,16,0,1.0,1.0,3
91758,73,43,44,75,51.0,76,74.0,79,65,76,87,79,78.0,77,88.0,73,69.0,84,48,67,72,63.0,78,67,70,77,77,76.0,16,12,15,14,16,1,2.0,1.0,2
99098,67,22,57,65,27.0,64,53.0,43,58,62,75,74,73.0,60,67.0,64,72.0,79,62,38,57,58.0,49,67,62,65,66,66.0,11,8,11,15,12,1,2.0,2.0,2
61239,59,77,74,70,67.0,71,48.0,50,52,73,72,71,71.0,75,74.0,77,74.0,69,73,67,75,69.0,72,54,15,22,27,15.0,13,7,9,16,12,1,1.0,0.0,7
149741,46,11,77,52,17.0,23,23.0,25,35,42,30,33,30.0,55,30.0,49,32.0,65,93,25,37,44.0,29,66,55,63,72,64.0,6,6,13,7,13,0,1.0,1.0,4
81139,66,73,58,78,54.0,76,65.0,54,65,82,85,82,84.0,76,84.0,66,65.0,79,58,60,76,71.0,63,56,35,36,58,25.0,14,10,8,13,9,1,2.0,1.0,4
27834,49,83,79,70,77.0,66,56.0,48,61,75,52,65,41.0,77,50.0,81,75.0,70,92,69,83,56.0,80,83,19,21,17,15.0,6,10,6,8,8,1,1.0,0.0,7
179204,64,47,55,67,33.0,67,63.0,64,63,66,72,75,83.0,64,86.0,71,76.0,81,56,65,55,64.0,56,76,67,54,63,54.0,14,13,14,12,11,1,1.0,2.0,4
39606,74,35,54,58,43.0,64,69.0,58,53,62,82,81,76.0,66,77.0,61,73.0,76,61,46,55,48.0,55,73,71,66,68,72.0,10,9,16,8,9,0,2.0,1.0,2
178383,40,30,78,66,27.0,55,31.0,36,68,65,62,67,45.0,66,44.0,51,75.0,66,80,40,29,38.0,37,78,76,78,78,72.0,15,10,13,8,11,0,1.0,1.0,1
135851,50,34,70,68,53.0,56,55.0,29,66,61,76,78,67.0,66,63.0,73,74.0,84,73,57,23,63.0,35,73,68,63,71,68.0,13,14,7,7,13,1,,,3
75458,14,15,14,25,15.0,14,11.0,18,21,16,46,32,34.0,62,36.0,13,46.0,21,57,14,13,42.0,18,24,16,12,14,13.0,67,59,59,71,74,1,1.0,1.0,0
42422,67,75,63,58,56.0,72,49.0,48,53,71,82,71,75.0,67,71.0,70,88.0,80,72,55,70,47.0,65,62,29,17,24,20.0,14,13,15,6,14,1,2.0,1.0,4
46234,77,72,58,80,73.0,86,81.0,78,72,86,96,87,90.0,79,88.0,85,61.0,77,60,78,78,80.0,77,55,43,41,62,47.0,13,15,9,12,5,0,1.0,0.0,4
30370,69,67,69,75,59.0,68,57.0,57,69,70,34,52,49.0,65,59.0,72,80.0,62,84,69,69,66.0,56,59,53,49,60,59.0,13,12,7,8,6,1,1.0,0.0,4
145137,66,60,59,73,59.0,68,66.0,66,67,70,49,54,77.0,71,70.0,67,59.0,82,58,64,65,75.0,42,71,71,61,68,67.0,10,7,13,7,12,1,2.0,2.0,3
8578,74,48,65,76,48.0,71,69.0,50,73,75,74,77,73.0,73,70.0,84,78.0,83,75,75,66,67.0,44,76,74,63,75,74.0,9,8,8,6,8,0,1.0,1.0,2
22234,49,78,54,56,35.0,57,34.0,51,30,67,68,69,67.0,73,63.0,59,68.0,54,53,54,75,52.0,69,27,12,12,13,20.0,12,9,8,15,7,1,2.0,1.0,7
83689,46,35,78,71,34.0,60,42.0,39,68,64,65,74,51.0,76,37.0,42,66.0,55,87,28,44,46.0,48,74,78,75,78,73.0,16,15,13,7,14,1,1.0,1.0,1
182227,73,46,64,65,38.0,71,75.0,46,68,73,85,81,80.0,50,74.0,68,82.0,82,78,39,67,59.0,44,60,65,61,67,65.0,15,12,9,6,11,0,1.0,1.0,2
242,64,67,54,64,61.0,75,66.0,68,56,76,82,78,82.0,66,84.0,74,70.0,67,51,72,70,62.0,67,45,45,36,31,37.0,14,13,9,15,10,0,1.0,1.0,4
75550,67,31,70,62,48.0,67,54.0,37,62,62,65,68,64.0,61,59.0,58,47.0,84,84,57,61,55.0,44,75,66,64,67,71.0,11,8,9,10,13,0,1.0,1.0,4
157098,75,49,80,69,40.0,68,64.0,46,65,70,70,76,54.0,71,53.0,64,72.0,82,78,49,63,55.0,67,90,76,67,77,80.0,16,12,16,6,9,0,2.0,1.0,1
46005,67,77,51,75,77.0,80,73.0,70,72,79,90,86,77.0,72,83.0,86,86.0,77,71,76,74,75.0,71,71,43,29,40,23.0,15,11,15,14,9,1,2.0,1.0,4
119225,49,28,72,50,39.0,44,38.0,20,53,49,59,61,47.0,51,53.0,38,73.0,67,74,12,42,44.0,45,69,72,68,75,69.0,10,16,16,7,14,0,0.0,2.0,1
28603,38,41,64,49,34.0,36,39.0,41,45,47,49,45,56.0,54,52.0,49,70.0,67,76,32,33,50.0,34,71,59,63,64,62.0,14,12,6,10,7,1,0.0,2.0,4
42293,55,40,39,74,53.0,65,53.0,68,66,68,69,70,68.0,61,66.0,58,61.0,73,60,57,66,64.0,68,58,68,49,56,58.0,12,14,8,12,8,1,1.0,1.0,4
75940,73,67,71,69,59.0,78,68.0,66,65,73,74,79,75.0,71,73.0,69,72.0,79,70,65,73,70.0,65,78,51,59,56,60.0,6,16,16,15,15,0,2.0,2.0,2
137541,75,71,61,78,49.0,84,79.0,73,71,80,76,78,78.0,74,82.0,67,54.0,62,56,70,75,77.0,61,32,25,26,27,28.0,16,7,15,6,14,0,2.0,1.0,5
139199,58,65,64,63,52.0,66,43.0,42,54,67,71,70,61.0,64,59.0,62,62.0,62,72,60,64,53.0,68,32,38,33,33,38.0,14,10,12,10,9,1,1.0,1.0,4
30827,69,64,65,73,67.0,68,67.0,68,69,72,68,66,69.0,74,63.0,72,67.0,83,74,70,66,68.0,60,71,70,56,66,61.0,15,13,11,13,13,1,1.0,2.0,3
174137,63,71,52,61,66.0,73,56.0,40,56,70,85,81,84.0,68,83.0,71,79.0,60,61,57,63,66.0,62,54,17,17,14,12.0,13,7,8,14,11,0,2.0,2.0,4
121482,67,52,57,84,65.0,77,82.0,75,77,80,67,63,78.0,76,79.0,74,74.0,78,69,68,67,77.0,59,68,71,75,76,65.0,16,7,11,12,13,0,1.0,1.0,3
19013,73,60,64,72,61.0,67,78.0,80,67,70,52,54,62.0,63,62.0,86,63.0,53,80,73,59,66.0,75,87,49,54,63,62.0,14,14,8,7,13,0,1.0,1.0,4
